iter	Passed	Remaining
399	29359	44038
400	29420	43948
401	29494	43874
402	29574	43811
403	29646	43736
404	29731	43679
405	29813	43619
406	29887	43546
407	29950	43457
408	30020	43379
409	30113	43334
410	30196	43273
411	30279	43214
412	30356	43145
413	30432	43075
414	30503	42998
415	30570	42916
416	30631	42825
417	30697	42742
418	30759	42652
419	30819	42560
420	30876	42464
421	30930	42364
422	30995	42279
423	31063	42199
424	31141	42132
425	31208	42050
426	31278	41973
427	31344	41890
428	31413	41810
429	31477	41725
430	31548	41649
431	31610	41562
432	31677	41480
433	31754	41411
434	31843	41359
435	31925	41298
436	32015	41246
437	32092	41178
438	32177	41119
439	32241	41034
440	32304	40948
441	32371	40866
442	32435	40782
443	32493	40690
444	32554	40602
445	32622	40521
446	32691	40444
447	32753	40357
448	32820	40276
449	32884	40191
450	32953	40113
451	33014	40026
452	33087	39953
453	33151	39868
454	33218	39788
455	33284	39707
456	33351	39628
457	33417	39546
458	33478	39459
459	33535	39367
460	33595	39280
461	33655	39191
462	33716	39105
463	33781	39023
464	33834	38927
465	33895	38841
466	33953	38752
467	34010	38661
468	34073	38577
469	34134	38492
470	34193	38404
471	34255	38319
472	34313	38231
473	34377	38148
474	34435	38060
475	34494	37972
476	34557	37890
477	34613	37799
478	34675	37715
479	34733	37627
480	34791	37540
481	34853	37457
482	34909	37366
483	34972	37284
484	35046	37214
485	35124	37147
486	35205	37084
487	35280	37015
488	35393	36985
489	35478	36927
490	35542	36845
491	35610	36768
492	35669	36682
493	35741	36609
494	35804	36527
495	35865	36444
496	35921	36355
497	35987	36276
498	36047	36191
499	36104	36104
500	36163	36019
501	36223	35934
502	36283	35850
503	36336	35760
504	36393	35673
505	36470	35605
506	36553	35544
507	36635	35481
508	36721	35422
509	36811	35368
510	36900	35312
511	36988	35254
512	37070	35191
513	37169	35144
514	37271	35100
515	37368	35050
516	37466	35002
517	37553	34943
518	37631	34876
519	37713	34812
520	37788	34741
521	37853	34663
522	37919	34584
523	37973	34495
524	38040	34417
