iter	Logloss
0	0.5913455733
1	0.5103527998
2	0.4467595518
3	0.3956735006
4	0.351054032
5	0.3149665502
6	0.2794504182
7	0.2546700103
8	0.2315970414
9	0.2137748086
10	0.1961204287
11	0.182346629
12	0.171599336
13	0.1604011882
14	0.152389002
15	0.1441991315
16	0.139287539
17	0.1348806736
18	0.1305705874
19	0.1255283961
20	0.1211293551
21	0.1169022588
22	0.113417189
23	0.1110206231
24	0.109135608
25	0.1065813483
26	0.1043934634
27	0.1018543242
28	0.1002504592
29	0.09864055661
30	0.09717459034
31	0.09574605976
32	0.09417366098
33	0.0923362244
34	0.0907305131
35	0.08950670925
36	0.0880136471
37	0.086905058
38	0.08545788255
39	0.0844617303
40	0.0832767334
41	0.08215605513
42	0.0814696946
43	0.08052353815
44	0.07990190497
45	0.07865455254
46	0.07812299164
47	0.0771744853
48	0.07609498185
49	0.07548833807
50	0.07452144556
51	0.0738409527
52	0.07301712565
53	0.07188087844
54	0.07063379789
55	0.06985694168
56	0.06919785592
57	0.06863759221
58	0.06799967782
59	0.06714608063
60	0.06675163162
61	0.06636513621
62	0.06595822521
63	0.06534610371
64	0.06508466869
65	0.06428672453
66	0.06348072768
67	0.06311859391
68	0.06283696288
69	0.06215029009
70	0.06165999524
71	0.06133686064
72	0.06081718214
73	0.06055576239
74	0.06009428267
75	0.05966227618
76	0.05903789202
77	0.05859099827
78	0.05836386347
79	0.05753242384
80	0.05733218045
81	0.0570878275
82	0.05644496594
83	0.05620593887
84	0.05513997081
85	0.05475379212
86	0.05445328849
87	0.05407887216
88	0.0538030245
89	0.05347904912
90	0.05331808078
91	0.05284696809
92	0.05228298252
93	0.05201500601
94	0.05167267701
95	0.05123150395
96	0.05102215054
97	0.05054303136
98	0.04988984843
99	0.04968152682
100	0.04949084686
101	0.04910588716
102	0.04857481741
103	0.04846087195
104	0.04821273179
105	0.04811327724
106	0.04795523672
107	0.04755970816
108	0.04719473396
109	0.04667343228
110	0.04626264205
111	0.04601440707
112	0.04558636971
113	0.04543560816
114	0.04527031844
115	0.04515490928
116	0.04499783514
117	0.04480966707
118	0.04468723396
119	0.04455922907
120	0.04434380624
121	0.04412905606
122	0.04386304781
123	0.04351014576
124	0.04339540958
125	0.04319688657
126	0.04303673252
127	0.0427561413
128	0.04255944817
129	0.04240973117
130	0.04218754059
131	0.0421135555
132	0.04190109982
133	0.04174846959
134	0.04166071519
135	0.04150273518
136	0.04117994761
137	0.04102725244
138	0.04093797021
139	0.04076043782
140	0.04061947933
141	0.04048660605
142	0.0403045621
143	0.04005837252
144	0.03991486229
145	0.03963062998
146	0.0394208729
147	0.03933518244
148	0.03912564602
149	0.03889597624
150	0.03865492627
151	0.0384529849
152	0.03835494854
153	0.03828653115
154	0.03819796579
155	0.03794919194
156	0.03775089361
157	0.03764584899
158	0.03735611603
159	0.03711643801
160	0.03688346425
161	0.03653092433
162	0.03613714682
163	0.03601479882
164	0.03539055862
165	0.0352840443
166	0.0350937208
167	0.03476659002
168	0.03467520274
169	0.03447905391
170	0.03432379751
171	0.03411965696
172	0.03401994948
173	0.03386109956
174	0.03365233238
175	0.03358029363
176	0.03344741132
177	0.03336690485
178	0.03315652445
179	0.03306687788
180	0.03293570404
181	0.03289939713
182	0.03274911721
183	0.03248632471
184	0.0323730212
185	0.03230638635
186	0.03225673034
187	0.03218240029
188	0.03206040511
189	0.0319094942
190	0.03180978554
191	0.03163252836
192	0.03152893749
193	0.03138762384
194	0.0312339934
195	0.03108034113
196	0.03103505398
197	0.03095225953
198	0.03063306076
199	0.03056475887
200	0.0303920185
201	0.03019778806
202	0.03012721095
203	0.03003201106
204	0.02988762785
205	0.02973991161
206	0.02966291262
207	0.02963039069
208	0.02953501438
209	0.02946777796
210	0.02935748278
211	0.02922464278
212	0.02914372961
213	0.02910996881
214	0.02890906937
215	0.02877033718
216	0.02869802347
217	0.02866738197
218	0.02854276605
219	0.02847005696
220	0.02835706451
221	0.02811823511
222	0.02770032866
223	0.02755274893
224	0.02741716217
225	0.02731367364
226	0.02719415734
227	0.02704401557
228	0.02692154491
229	0.02677811618
230	0.0266581338
231	0.02654107533
232	0.02648549878
233	0.02639879101
234	0.02631794364
235	0.0262921823
236	0.02626898599
237	0.02616601831
238	0.02604478039
239	0.02599199566
240	0.02591601487
241	0.02576480274
242	0.02565979604
243	0.02562261481
244	0.02549580374
245	0.02542784591
246	0.02535520354
247	0.02529869656
248	0.02517773592
249	0.02510890331
250	0.02503251332
251	0.02500641594
252	0.02489374724
253	0.02486288316
254	0.02483809338
255	0.0246293033
256	0.02460741569
257	0.0243135803
258	0.02419372686
259	0.02414330778
260	0.02407489453
261	0.02397564268
262	0.02389949104
263	0.02382786307
264	0.02373604749
265	0.02360319594
266	0.02351355803
267	0.02342141608
268	0.02336199862
269	0.02327937948
270	0.02327536667
